,name,price1,price2
238,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
239,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
240,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
241,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
242,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
243,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
244,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
245,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
246,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
247,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
248,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
249,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
250,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
251,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
252,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
253,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
254,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
255,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
256,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
257,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
258,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
259,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
260,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
261,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
262,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
263,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
264,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
265,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
266,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
267,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
268,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
269,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
270,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
271,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
272,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
273,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
